iter	RMSE
0	38.27604495
1	35.37575557
2	32.74587797
3	30.46115782
4	28.3084208
5	26.3448517
6	24.53552819
7	22.83432668
8	21.37555373
9	20.05654205
10	18.81406175
11	17.69099373
12	16.70875936
13	15.78474409
14	14.8865698
15	14.08582877
16	13.36714853
17	12.69588945
18	12.07118482
19	11.47358568
20	10.95007053
21	10.44380777
22	9.999187219
23	9.586418965
24	9.201122841
25	8.852177451
26	8.523222135
27	8.227054093
28	7.901866642
29	7.659161012
30	7.37159379
31	7.150333335
32	6.904387751
33	6.681877529
34	6.489267829
35	6.337100389
36	6.166251858
37	6.00440414
38	5.86488154
39	5.731226481
40	5.612380627
41	5.474984569
42	5.384193343
43	5.277651569
44	5.195099325
45	5.082228163
46	5.005524237
47	4.936529728
48	4.845261425
49	4.766465755
50	4.706392866
51	4.628852605
52	4.572217392
53	4.515758973
54	4.46051901
55	4.403869742
56	4.360052636
57	4.315042594
58	4.278925641
59	4.223607944
60	4.181284495
61	4.136901232
62	4.102578149
63	4.055541134
64	4.001410332
65	3.971653959
66	3.915787187
67	3.874050627
68	3.833899099
69	3.80332581
70	3.779800866
71	3.753980573
72	3.732654997
73	3.698708122
74	3.680644487
75	3.637810908
76	3.610081425
77	3.582753452
78	3.561350341
79	3.519150984
80	3.477673914
81	3.457673408
82	3.439032918
83	3.417357319
84	3.383509451
85	3.339373403
86	3.311732937
87	3.29974566
88	3.268152058
89	3.242794855
90	3.215212391
91	3.191818646
92	3.178845032
93	3.151920348
94	3.13564503
95	3.11869874
96	3.108821375
97	3.087763155
98	3.061115835
99	3.049886121
100	3.038683222
101	3.03128697
102	3.008409395
103	2.98682007
104	2.978314184
105	2.965281357
106	2.946697108
107	2.937058848
108	2.912879333
109	2.899366491
110	2.879374789
111	2.867328133
112	2.838280103
113	2.820544611
114	2.800195748
115	2.776379108
116	2.75860773
117	2.742710005
118	2.732987639
119	2.72205488
120	2.708248457
121	2.699040806
122	2.693528956
123	2.687335253
124	2.677975995
125	2.672801402
126	2.660832814
127	2.655862279
128	2.646875839
129	2.637602133
130	2.627967372
131	2.600526722
132	2.59046591
133	2.583114783
134	2.559839643
135	2.555493628
136	2.545532919
137	2.538463748
138	2.522956886
139	2.515507923
140	2.503879921
141	2.495729476
142	2.487978017
143	2.479279747
144	2.463444981
145	2.457938469
146	2.44357798
147	2.426903554
148	2.421609848
149	2.407643137
150	2.390217157
151	2.386414691
152	2.379508177
153	2.370424265
154	2.365784901
155	2.360160057
156	2.357409209
157	2.35263787
158	2.34151341
159	2.327266657
160	2.321633521
161	2.307179407
162	2.297612744
163	2.290700051
164	2.28213406
165	2.278732725
166	2.275147796
167	2.25720408
168	2.245779024
169	2.240259152
170	2.226117305
171	2.219541888
172	2.212599807
173	2.201926617
174	2.18717873
175	2.179613964
176	2.170976397
177	2.157547988
178	2.148059037
179	2.14215023
180	2.129313961
181	2.120123796
182	2.113220238
183	2.110201002
184	2.098313147
185	2.095814336
186	2.093075874
187	2.084381167
188	2.072196347
189	2.067245012
190	2.06027598
191	2.0520612
192	2.045521377
193	2.041325602
194	2.039256495
195	2.030546723
196	2.02196508
197	2.017964679
198	2.012915803
199	2.008196937
