iter	Passed	Remaining
0	14	2886
1	28	2796
2	41	2752
3	56	2765
4	70	2755
5	85	2757
6	101	2791
7	117	2821
8	131	2791
9	146	2784
10	161	2780
11	176	2760
12	191	2757
13	207	2756
14	222	2738
15	235	2710
16	250	2700
17	265	2680
18	278	2652
19	293	2645
20	307	2623
21	321	2600
22	336	2586
23	351	2574
24	365	2556
25	378	2533
26	393	2518
27	406	2497
28	419	2476
29	433	2457
30	447	2441
31	461	2424
32	475	2406
33	490	2393
34	503	2373
35	516	2354
36	531	2341
37	545	2325
38	559	2310
39	573	2293
40	586	2276
41	602	2267
42	616	2250
43	629	2232
44	643	2214
45	658	2203
46	671	2184
47	684	2166
48	701	2162
49	718	2156
50	733	2142
51	748	2130
52	763	2116
53	776	2100
54	791	2087
55	805	2070
56	819	2056
57	833	2039
58	848	2028
59	864	2016
60	879	2003
61	894	1991
62	910	1979
63	925	1966
64	941	1956
65	958	1945
66	975	1936
67	992	1926
68	1007	1913
69	1022	1898
70	1037	1884
71	1052	1871
72	1067	1856
73	1083	1844
74	1097	1829
75	1113	1817
76	1130	1805
77	1146	1792
78	1162	1780
79	1184	1777
80	1205	1771
81	1224	1762
82	1243	1753
83	1263	1744
84	1285	1739
85	1308	1734
86	1326	1722
87	1343	1710
88	1363	1700
89	1381	1688
90	1402	1679
91	1419	1666
92	1437	1653
93	1453	1639
94	1470	1625
95	1489	1613
96	1505	1598
97	1522	1584
98	1539	1570
99	1557	1557
100	1572	1541
101	1588	1526
102	1606	1513
103	1624	1499
104	1640	1483
105	1657	1469
106	1674	1455
107	1691	1441
108	1709	1427
109	1725	1411
110	1741	1396
111	1759	1382
112	1776	1367
113	1791	1351
114	1809	1337
115	1826	1322
116	1842	1307
117	1859	1292
118	1874	1276
119	1892	1261
120	1908	1245
121	1924	1230
122	1939	1213
123	1954	1197
124	1970	1182
125	1984	1165
126	2001	1150
127	2017	1134
128	2032	1118
129	2047	1102
130	2063	1086
131	2079	1071
132	2098	1056
133	2114	1041
134	2132	1026
135	2149	1011
136	2166	996
137	2181	980
138	2199	965
139	2215	949
140	2232	934
141	2248	918
142	2263	902
143	2278	886
144	2295	870
145	2310	854
146	2327	839
147	2344	823
148	2360	807
149	2377	792
150	2394	776
151	2409	760
152	2424	744
153	2440	728
154	2456	713
155	2473	697
156	2490	681
157	2505	666
158	2522	650
159	2539	634
160	2554	618
161	2572	603
162	2589	587
163	2606	572
164	2623	556
165	2638	540
166	2653	524
167	2671	508
168	2688	493
169	2703	477
170	2721	461
171	2736	445
172	2752	429
173	2769	413
174	2786	398
175	2802	382
176	2819	366
177	2836	350
178	2853	334
179	2868	318
180	2886	302
181	2903	287
182	2919	271
183	2935	255
184	2952	239
185	2967	223
186	2982	207
187	2999	191
188	3015	175
189	3030	159
190	3047	143
191	3065	127
192	3084	111
193	3101	95
194	3117	79
195	3134	63
196	3150	47
197	3165	31
198	3182	15
199	3197	0
